('aacey@labdrill.com', 2, 8.5),
('aacuff@opentech.com', 2, 2.0),
('aandreason@xx-holding.com', 1, 2.1),
('aandreason@xx-holding.com', 2, 2.6),
('aauffrey@betatech.com', 1, 3.5),
('aauffrey@betatech.com', 3, 2.2),
('abachman@ganjaflex.com', 1, 2.4),
('abachman@labdrill.com', 2, 1.7),
('abachman@labdrill.com', 4, 1.3),
('abachman@labdrill.com', 5, 2.2),
('abachman@labdrill.com', 6, 1.5),
('abarfield@sunnamplex.com', 1, 0.6),
('abarfield@sunnamplex.com', 3, 0.9),
('abartolet@conecom.com', 1, 6.2),
('abartolet@kan-code.com', 1, 5.0),
('abartolet@kan-code.com', 4, 10.1),
('abatman@year-job.com', 1, 0.9),
('abatman@year-job.com', 5, 0.9),
('abatman@year-job.com', 6, 1.2),
('abergesen@iselectrics.com', 1, 2.3),
('aberlanga@betatech.com', 2, 1.4),
('aberray@golddex.com', 3, 1.4),
('abilden@streethex.com', 2, 3.6),
('ablackwood@ontomedia.com', 3, 3.6),
('abookamer@plussunin.com', 3, 3.0),
('aboord@plussunin.com', 2, 3.8),
('aboulter@xx-zobam.com', 3, 1.1),
('abreland@j-texon.com', 1, 3.6),
('abreland@streethex.com', 4, 2.1),
('abrucato@plussunin.com', 1, 3.2),
('abruschke@domzoom.com', 2, 16.5),
('abruschke@domzoom.com', 4, 2.6),
('abutt@year-job.com', 2, 2.0),
('abuvens@lexiqvolax.com', 2, 1.5),
('abuvens@lexiqvolax.com', 3, 1.4),
('abuvens@lexiqvolax.com', 4, 2.7),
('abuzick@plexzap.com', 2, 6.2),
('abuzick@singletechno.com', 3, 2.1),
('acaiafa@inity.com', 3, 2.8),
('acaiafa@inity.com', 4, 14.7),
('acalvaresi@openlane.com', 2, 1.1),
('acampain@opentech.com', 1, 7.7),
('acentini@conecom.com', 3, 1.8),
('achesterfield@bioplex.com', 2, 2.2),
('achui@kan-code.com', 1, 2.0),
('aclaucherty@kinnamplus.com', 1, 1.6),
('aclaucherty@kinnamplus.com', 2, 4.4),
('acloney@hottechi.com', 1, 2.1),
('acookey@sumace.com', 4, 1.7),
('acorbley@dambase.com', 2, 0.7),
('acorbley@j-texon.com', 2, 3.2),
('acorbley@j-texon.com', 3, 18.4),
('acousey@statholdings.com', 1, 4.4),
('acoyier@j-texon.com', 1, 17.3),
('acoyier@j-texon.com', 2, 2.2),
('acoyier@j-texon.com', 4, 4.2),
('acrupi@isdom.com', 4, 1.6),
('adarakjy@donquadtech.com', 1, 2.3),
('adeleo@mathtouch.com', 2, 7.2),
('adeleo@mathtouch.com', 4, 4.8),
('adenooyer@hatfan.com', 3, 5.9),
('adenooyer@hatfan.com', 4, 1.0),
('adinos@hatfan.com', 1, 1.8),
('aeanes@rantouch.com', 4, 1.6),
('afallick@konex.com', 1, 2.4),
('afallick@ontomedia.com', 1, 1.7),
('afallick@ontomedia.com', 3, 2.2),
('aflister@blackzim.com', 2, 2.4),
('afrancescon@zathunicon.com', 3, 11.0),
('afredicks@iselectrics.com', 2, 0.6),
('afredicks@silis.com', 1, 1.6),
('afredicks@silis.com', 2, 1.5),
('afrerking@plexzap.com', 1, 5.1),
('agellinger@mathtouch.com', 4, 1.6),
('agellinger@mathtouch.com', 6, 1.6),
('agillian@blackzim.com', 2, 1.6),
('agillian@blackzim.com', 3, 2.5),
('agillian@treequote.com', 1, 3.3),
('agillian@treequote.com', 2, 2.4),
('agillian@treequote.com', 3, 2.9),
('agillian@treequote.com', 4, 4.3),
('agleich@golddex.com', 1, 1.6),
('agotter@fasehatice.com', 2, 6.5),
('agotter@fasehatice.com', 5, 5.8),
('agotter@golddex.com', 1, 4.4),
('agwalthney@statholdings.com', 1, 4.5),
('ahalsey@faxquote.com', 1, 1.6),
('ahalsey@faxquote.com', 3, 3.2),
('ahalter@silis.com', 1, 1.7),
('aharnos@condax.com', 3, 2.3),
('aharnos@condax.com', 5, 3.9),
('aharnos@condax.com', 8, 1.6),
('aharnos@condax.com', 10, 3.0),
('ahiatt@groovestreet.com', 5, 2.6),
('ahoffis@singletechno.com', 1, 6.6),
('ahollack@sonron.com', 1, 2.9),
('ahoopengardner@toughzap.com', 1, 2.6),
('ahudnall@rangreen.com', 3, 3.8),
('aisenhower@ontomedia.com', 1, 0.9),
('aiturbide@dambase.com', 1, 14.1),
('aiturbide@year-job.com', 1, 3.0),
('aiturbide@year-job.com', 2, 2.7),
('ajurney@ontomedia.com', 2, 1.3),
('ajurney@ontomedia.com', 3, 1.6),
('akalafatis@conecom.com', 4, 1.6),
('akalafatis@conecom.com', 8, 1.5),
('akannady@mathtouch.com', 4, 1.6),
('akarpel@green-plus.com', 2, 0.9),
('akeetch@y-corporation.com', 1, 9.7),
('akippley@goodsilron.com', 1, 13.4),
('aklonowski@konmatfix.com', 1, 4.4),
('aklusman@statholdings.com', 3, 4.7),
('akolmetz@finjob.com', 2, 3.5),
('akolmetz@kan-code.com', 2, 0.2),
('alabreche@lexiqvolax.com', 1, 2.1),
('alabreche@lexiqvolax.com', 3, 1.8),
('alawler@year-job.com', 3, 1.6),
('aleinenbach@ganjaflex.com', 6, 2.1),
('alindall@xx-holding.com', 4, 1.8),
('alipke@rundofase.com', 6, 1.7),
('alorens@ganjaflex.com', 3, 1.8),
('alother@zencorporation.com', 1, 1.9),
('alother@zencorporation.com', 2, 2.3),
('alother@zencorporation.com', 3, 1.5),
('alouissant@statholdings.com', 1, 1.4),
('alungren@funholding.com', 2, 9.9),
('alungren@funholding.com', 3, 3.0),
('alungren@funholding.com', 4, 1.9),
('alungren@funholding.com', 6, 1.7),
('amalvin@treequote.com', 3, 2.1),
('amalvin@treequote.com', 5, 1.1),
('amanno@betasoloin.com', 1, 2.8),
('amauson@fasehatice.com', 1, 4.5),
('amauson@opentech.com', 2, 4.3),
('amauson@opentech.com', 3, 1.8),
('amaybury@mathtouch.com', 3, 2.8),
('amaynerich@ganjaflex.com', 2, 1.7),
('amcdoniel@plussunin.com', 4, 1.5),
('ameinerding@donquadtech.com', 1, 5.5),
('ameisel@betasoloin.com', 1, 1.5),
('amenter@inity.com', 1, 2.1),
('amenter@inity.com', 3, 1.9),
('amodzelewski@iselectrics.com', 2, 1.7),
('amontezuma@ron-tech.com', 2, 3.5),
('amorocco@sumace.com', 1, 2.2),
('amorocco@sumace.com', 2, 5.1),
('amotley@codehow.com', 2, 1.2),
('amyricks@bioholding.com', 1, 13.6),
('anabours@scottech.com', 2, 1.3),
('anayar@isdom.com', 1, 1.2),
('aneither@gogozoom.com', 1, 6.8),
('aneither@gogozoom.com', 3, 2.5),
('aneither@gogozoom.com', 7, 7.0),
('aonofrio@cancity.com', 1, 1.8),
('aonofrio@cancity.com', 7, 2.9),
('aostrosky@gogozoom.com', 3, 3.3),
('apaulas@mathtouch.com', 1, 1.8),
('apaulas@mathtouch.com', 3, 2.0),
('apoquette@bioholding.com', 1, 0.8),
('apoquette@rundofase.com', 2, 3.2),
('arhoden@bioholding.com', 3, 2.0),
('arhymes@donquadtech.com', 1, 1.9),
('arim@treequote.com', 2, 1.7),
('arim@treequote.com', 6, 1.6),
('arodeigues@konmatfix.com', 1, 7.1),
('aroyster@domzoom.com', 2, 1.4),
('asamara@streethex.com', 1, 2.1),
('asamara@streethex.com', 3, 2.9),
('asawchuk@groovestreet.com', 1, 4.2),
('asaylors@gogozoom.com', 3, 0.6),
('asaylors@gogozoom.com', 6, 1.3),
('aschmierer@dambase.com', 3, 2.9),
('ashields@konmatfix.com', 1, 10.6),
('ashin@finjob.com', 2, 1.3),
('aspickerman@zathunicon.com', 1, 0.7),
('astaback@betasoloin.com', 2, 0.6),
('astaback@zotware.com', 2, 4.6),
('astaback@zotware.com', 3, 3.2),
('astem@zotware.com', 2, 4.2),
('astem@zotware.com', 4, 3.8),
('astoltzman@statholdings.com', 1, 9.4),
('astuer@funholding.com', 1, 4.1),
('astuer@funholding.com', 4, 12.5),
('asturiale@plusstrip.com', 2, 15.1),
('aswayze@rantouch.com', 1, 9.9),
('atheodorov@fasehatice.com', 1, 1.7),
('atheodorov@fasehatice.com', 4, 3.0),
('athreets@statholdings.com', 1, 7.2),
('athyberg@rangreen.com', 4, 2.3),
('atimenez@y-corporation.com', 2, 1.8),
('atimenez@y-corporation.com', 3, 3.7),
('aupthegrove@toughzap.com', 3, 3.5),
('auyetake@betatech.com', 1, 2.4),
('auyetake@betatech.com', 3, 4.1),
('auyetake@zencorporation.com', 3, 10.3),
('avanheusen@xx-zobam.com', 7, 2.0),
('avenere@zathunicon.com', 3, 2.5),
('avinning@zotware.com', 1, 3.9),
('awalthall@rantouch.com', 2, 3.2),
('awitten@bioholding.com', 6, 2.4),
('awitten@bioholding.com', 7, 2.4),
('ayglesias@green-plus.com', 1, 1.8),
('azagen@kinnamplus.com', 1, 1.1),
('bahle@stanredtax.com', 2, 1.5),
('bahle@stanredtax.com', 4, 5.1),
('bauffrey@isdom.com', 2, 1.2),
('bauffrey@isdom.com', 3, 4.4),
('bauffrey@isdom.com', 5, 3.3),
('bauffrey@isdom.com', 6, 3.2),
('bbartolet@inity.com', 1, 0.9),
('bblackwood@singletechno.com', 1, 6.5),
('bblackwood@singletechno.com', 3, 5.7),
('bborgman@golddex.com', 4, 1.0),
('bbreland@konex.com', 1, 2.9),
('bbrossart@y-corporation.com', 1, 4.7),
('bbrucato@betatech.com', 1, 1.6),
('bburnard@funholding.com', 3, 1.8),
('bcartan@rantouch.com', 1, 1.4),
('bdaufeldt@j-texon.com', 3, 2.0),
('bdaufeldt@j-texon.com', 4, 2.9),
('bdiestel@bioholding.com', 2, 4.3),
('bdiestel@bioholding.com', 3, 3.4),
('bdiestel@bioholding.com', 4, 4.7),
('bdopico@plexzap.com', 3, 2.0),
('bdrymon@dalttechnology.com', 1, 1.3),
('bdrymon@dalttechnology.com', 2, 2.1),
('bdrymon@dalttechnology.com', 3, 4.8),
('bdrymon@stanredtax.com', 1, 13.8),
('bdubaldi@green-plus.com', 1, 1.3),
('beanes@codehow.com', 3, 1.7),
('beanes@ron-tech.com', 3, 0.5),
('bfarrar@lexiqvolax.com', 1, 4.3),
('bfelger@warephase.com', 1, 1.7),
('bferrario@openlane.com', 1, 2.6),
('bflosi@rundofase.com', 2, 2.2),
('bfrancescon@ron-tech.com', 1, 1.3),
('bfredicks@zathunicon.com', 1, 5.3),
('bfredicks@zathunicon.com', 2, 2.7),
('bfredicks@zathunicon.com', 3, 4.4),
('bgato@doncon.com', 1, 1.3),
('bgehrett@dalttechnology.com', 6, 8.3),
('bgehrett@kan-code.com', 2, 8.4),
('bgehrett@kan-code.com', 3, 1.0),
('bgehrett@kan-code.com', 5, 2.0),
('bgleich@rantouch.com', 3, 2.6),
('bglick@donware.com', 1, 2.9),
('bgrenet@betasoloin.com', 6, 3.0),
('bgrenet@betasoloin.com', 8, 5.2),
('bgrenet@betasoloin.com', 10, 1.9),
('bgudroe@ontomedia.com', 3, 1.9),
('bgwalthney@domzoom.com', 1, 0.7),
('bgwalthney@domzoom.com', 2, 1.6),
('bheintzman@rundofase.com', 3, 5.3),
('bhusser@donware.com', 2, 13.6),
('bjuhas@konmatfix.com', 2, 3.0),
('bjuvera@mathtouch.com', 1, 4.4),
('bkaniecki@gogozoom.com', 1, 2.8),
('bkaniecki@gogozoom.com', 3, 2.5),
('bkardas@ron-tech.com', 6, 1.9),
('bkardas@rundofase.com', 1, 1.0),
('bkarpin@domzoom.com', 2, 3.1),
('bkeener@konex.com', 3, 1.9),
('bkeener@konex.com', 5, 0.7),
('bkeetch@iselectrics.com', 2, 1.3),
('blacovara@rangreen.com', 1, 11.1),
('blary@condax.com', 1, 3.3),
('blary@condax.com', 3, 1.1),
('blary@condax.com', 5, 1.2),
('blatzke@conecom.com', 1, 5.0),
('blawler@dambase.com', 1, 2.4),
('blawler@dambase.com', 2, 5.0),
('blawler@dambase.com', 10, 4.4),
('bliukko@j-texon.com', 3, 14.0),
('bloader@toughzap.com', 2, 4.1),
('blungren@scotfind.com', 2, 2.7),
('blungren@scotfind.com', 3, 3.9),
('bmartabano@fasehatice.com', 1, 3.5),
('bmodzelewski@rundofase.com', 1, 2.8),
('bmontezuma@scotfind.com', 1, 1.6),
('bmorocco@golddex.com', 2, 11.0),
('bmorocco@golddex.com', 4, 6.7),
('bnewville@donware.com', 4, 2.4),
('bnewville@fasehatice.com', 4, 1.0),
('bnewville@fasehatice.com', 5, 1.5),
('bnunlee@plexzap.com', 2, 1.1),
('bnunlee@plexzap.com', 7, 1.3),
('bnunlee@plexzap.com', 10, 7.0),
('bpadilla@silis.com', 6, 1.4),
('bparvis@donware.com', 1, 12.3),
('bperin@conecom.com', 1, 1.9),
('bperin@conecom.com', 4, 11.5),
('bpoullion@opentech.com', 1, 3.5),
('brantanen@betasoloin.com', 3, 1.9),
('braymo@nam-zim.com', 1, 4.0),
('briden@dalttechnology.com', 1, 3.7),
('brodefer@domzoom.com', 2, 6.8),
('brodefer@domzoom.com', 3, 1.5),
('broyster@konmatfix.com', 2, 3.0),
('broyster@konmatfix.com', 3, 5.2),
('bsamu@newex.com', 2, 0.2),
('bschoeneck@konex.com', 1, 6.5),
('bsergi@betasoloin.com', 2, 3.1),
